sentence,SOCIAL_LABEL,GRI_LABEL
Sản phẩm bông đen là hướng đi mới và tạo nên sự đột phá khác biệt dẫn đầu xu thế kinh tế tuần hoàn trong ngành may mặc.,U,
Nghiên cứu và phát triển bông Downlike với sự ghi nhận tích cực về tính bảo vệ môi trường.,S,GRI404-3
"Downlike tái chế là một lựa chọn thay thế cho lông vũ với các tính năng nổi bật như chống nước, không bị vón cục sau khi giặt, siêu thân thiện với môi trường với 90% vật liệu tái chế từ chai nhựa.",U,
Thực hiện đầu tư nghiên cứu và phát triển thành công phần mềm công nghệ quản trị ngành may.,S,GRI404-2
TNG cũng chuẩn bị đầu tư nghiên cứu phát triển lĩnh vực chế tạo máy móc thiết bị phục vụ ngành may.,U,
"Hiện, TNG đang hoàn Năm 2022, TNG tiếp tục tập trung sản xuất hàng may mặc chủ đạo làm trọng yếu để tận dụng tối đa cơ hội dịch chuyển đơn hàng mang lại.",U,
"Tuy vậy, TNG vẫn luôn chú trọng công tác nghiên cứu phát triển sản phẩm mới nhằm hướng đến giá trị phát triển bền vững. thiện các thủ tục pháp lý đăng ký nhãn hiệu cho 2 lĩnh vực mới này.",U,
"Đầu tư mở rộng Nhà máy sản xuất, Công ty đã đưa vào sử dụng các phần mềm quản lý điều hành sản xuất để tăng tính chủ động, tính chính xác và kịp thời trong quản lý sản xuất.",U,
"Với lĩnh vực dịch vụ, Công ty đã áp dụng hệ thống thanh toán các đơn hàng xuất khẩu qua thẻ của hệ thống các ngân hàng lớn tại nước ngoài.",S,GRI402
Thành lập Chi nhánh Giải pháp công nghệ TRE đẩy mạnh công tác nghiên cứu và phát triển dự án Giải pháp quản trị và điều hành thông minh cho ngành may.,S,GRI404-2
"Trong đó nổi bật: giao việc tự động, đặt hàng tự động, App kiểm tra mác, Dự án PM nhân sự mới, dự án quản lý tài sản...",S,GRI413-1
"Sử dụng điều hòa vào những ngày nóng, được giới hạn nhiệt độ và quy định thời gian bật tắt (trước 60’ khi rời khỏi Công ty).",S,GRI404-3
Thay toàn bộ đèn huỳnh quang cũ bằng đèn Led để tiết kiệm năng lượng.,U,
"Đầu tư 3 hệ thống nồi hơi đốt ga thay thế cho các hệ thống nồi hơi đốt than cho các bếp ăn tại các Chi nhánh Sông Công, Phú Bình, Đồng Hỷ.",U,
Đầu tư các trạm xử lý nước thải để tái sử dụng nước theo tiêu chuẩn khách hàng.,S,GRI418
"Tận dụng vải tái chế để sản xuất bông đen, nhựa tái chế để sản xuất bông downlike.",U,
Tăng tỷ lệ bông polyeste từ nhựa tái chế.,U,
"Tận dụng nguồn ánh sáng tự nhiên Ngay từ khi xây dựng các phương án thiết kế nhà xưởng, TNG đã đặc biệt chú trọng đến việc thiết kế các hệ thống chiếu sáng tự nhiên, giảm chiếu sáng nhân tạo (sử dụng năng lượng điện).",U,
"Đó là sử dụng các tấm nhựa lắp đặt ở trên mái xưởng, xung quanh xưởng, nhằm lấy ánh sáng tự nhiên, tăng cường nguồn ánh sáng cho các xưởng may.",S,GRI418
"Đặc biệt, TNG đã lên kế hoạch cho việc đàm phán để lắp đặt hệ thống điện áp mái nhằm hướng đến tiết giảm nguồn năng lượng tiêu hao tại các xưởng sản xuất.",U,
"Tiết kiệm điện năng chiếu sáng vị trí làm việc Tại TNG, thông điệp “Tắt điện khi rời khỏi vị trí làm việc hoặc không sử dụng đến” được tuyên truyền rộng rãi đến người lao động cũng như các cán bộ công nhân viên trong Công ty.",S,GRI401-2
"Các thiết bị điện, đặc biệt là hệ thống bóng đèn chiếu sáng và máy may sử dụng trong xưởng là những thiết bị hao tốn điện năng nhất.",U,
"Người lao động phải tự tắt công tắc điện, ngắt các thiết bị điện ngay tại chỗ ngồi của mình hoặc các vị trí lân cận khi nghỉ giải lao, khi ra về hoặc khi nghỉ ăn cơm ca.",S,GRI401
"Chỉ một hành động nhỏ của mỗi người lao động cũng là sự đóng góp, đoàn kết và gắn bó với TNG.",S,GRI413-1
Với 322 chuyền may hàng ngày sẽ tiết kiệm được: 322*100*(36-18)*8 = 4.636.800 W (4.636KW/ngày) Sử dụng phần mềm theo dõi lượng điện tiêu thụ hàng tháng.,U,
"Thực hiện thống kê, đánh giá và chỉ ra các tháng tiêu thụ nhiều, ít, mức tiêu hao năng lượng theo tháng và tiêu hao năng lượng nào nhiều nhất.",U,
"Từ đó đưa ra những giải pháp cụ thể, thiết thực và hiệu quả nhất.",U,
Do đặc điểm của khí hậu miền Bắc có hai mùa nóng lạnh rõ rệt.,U,
Vào mùa hè nhiệt độ ngoài trời thường xuyên cao (35 - 380C) nên Công ty đã chú trọng đến thiết kế nhà xưởng theo kiểu thông gió tự nhiên bằng hệ thống cửa trời và cửa mái.,U,
Việc sử dụng các cửa trời này đã làm cho nhà xưởng mát mẻ dẫn đến tiết kiệm được điện năng cho việc làm mát cho công nhân vào mùa hè.,S,GRI401-2
"Sử dụng bộ biến tần hoặc bộ điều khiển tốc độ để điều chỉnh tốc độ cần thiết nhằm giảm tổn thất điện năng cho quạt thông gió, máy bơm nước sinh hoạt, bơm nước cho giàn.",U,
"Hiện nay, phần lớn các lò hơi đang được sử dụng là lò sử dụng năng lượng hóa thạch, đốt bằng than, có hiệu suất sử dụng năng lượng thấp, làm gia tăng tình trạng ô nhiễm môi trường và kém hiệu quả về mặt kinh tế.",U,
"TNG đã đầu tư hơn 3,7 tỷ đồng để lắp đặt 7 hệ thống nồi hơi điện mới, nâng số nồi hơi điện từ 319 chiếc năm 2021 lên thành 528 chiếc năm 2022.",U,
"Duy trì nhiệt độ và áp suất (3- 4kg/cm2) nhằm tối ưu hiệu quả vận hành của lò, tiết giảm lượng than tối thiểu.",U,
"Thường xuyên kiểm soát tải lò hơi, xả đáy tự động, khí dư, nhiệt độ khói lò để tiết kiệm tối đa năng lượng lò hơi.",U,
"Vệ sinh làm sạch lò (cậy sạch xỉ, làm sạch ghi lò) sẽ giúp lò thu được lượng nhiệt lớn nhất, giúp giảm lượng than đốt lò.",U,
"Việc đào tạo được thỏa thuận rõ trong hợp đồng đào tạo nghề, tập nghề mà TNG ký với người lao động.",S,GRI403
Quy trình thực hiện tại TNG: Quy trình đào tạo nghề sơ cấp số QTNS05.1- QTĐTSCN ngày 01/06/2017.,U,
"Lao động trong thời gian đào tạo, tập nghề tham gia trực tiếp công việc tạo ra sản phẩm được TNG chi trả thù lao theo thỏa thuận.",S,GRI403
"Theo đó, việc đánh giá KPI được thực hiện hàng tháng và cập nhật tự động thông qua phần mềm KPI mà TNG xây dựng thực hiện theo tiêu chí công việc.",U,
"Phát triển nghề nghiệp của người lao động Hằng năm, TNG tổ chức/ tham dự các cuộc hội thảo, nghe nói chuyện chuyên đề về các lĩnh vực liên quan.",S,GRI402
Toàn bộ chi phí cho các lớp đào tạo phát triển nghề nghiệp cho người lao động đều do Công ty chi trả.,S,GRI404
"Người lao động ngoài được đào tạo miễn phí, còn được hưởng lương cho thời gian tham gia đào tạo, huấn luyện.",S,GRI404
BÁO CÁO THƯỜNG NIÊN 2022 BÁO CÁO TÌNH HÌNH HOẠT ĐỘNG TRONG NĂM 124 125 BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC (tt) TÌNH HÌNH TÀI CHÍNH CƠ CẤU TÀI SẢN TẠI NGÀY 01/01/2022 TỶ TRỌNG % TẠI NGÀY 31/12/2022 TỶ TRỌNG % TĂNG/ GIẢM (VNĐ) TĂNG TRƯỞNG I.,U,
"TÀI SẢN NGẮN HẠN 2.025.771.365.606 46,38% 2.607.502.163.527 49,27% 581.730.797.921 28,72% 1.",U,
"Tiền và các khoản tương đương tiền 13.512.403.296 0,31% 512.492.211.463 9,68% 498.979.808.167 3.692,75% 2.",U,
Các khoản đầu tư tài chính ngắn hạn - 3.,U,
"Các khoản phải thu ngắn hạn 718.646.604.849 16,45% 558.603.558.263 10,56% -160.043.046.586 -22,27% 4.",U,
"Hàng tồn kho 1.159.323.814.454 26,55% 1.279.993.895.072 24,19% 120.670.080.618 10,41% 5.",U,
"Tài sản ngắn hạn khác 134.288.543.007 3,07% 256.412.498.729 4,85% 122.123.955.722 90,94% II.",U,
"TÀI SẢN DÀI HẠN 2.341.603.722.959 53,62% 2.684.341.675.673 50,73% 342.737.952.714 14,64% 1.",U,
"Các khoản phải thu dài hạn 21.133.119.259 0,48% 10.680.826.157 0,20% -10.452.293.102 -49,46% 2.",U,
"Tài Sản cố định 1.501.377.492.294 34,38% 1.812.357.749.031 34,25% 310.980.256.737 20,71% 3.",U,
"Bất động sản đầu tư 32.749.074.805 0,75% 32.066.802.409 0,61% -682.272.396 -2,08% 4.",U,
"Tài sản dở dang dài hạn 671.299.937.275 15,37% 684.021.623.687 12,93% 12.721.686.412 1,90% 5.",U,
Đầu tư tài chính dài hạn - 6.,U,
"Tài sản dài hạn khác 115.044.099.326 2,63% 145.214.674.389 2,74% 30.170.575.063 26,23% Tổng cộng tài sản 4.367.375.088.565 100,00% 5.291.843.839.200 100,00% 924.468.750.635 21,17% I.",U,
"NỢ PHẢI TRẢ 2.905.123.800.308 66,52% 3.641.015.759.091 68,80% 735.891.958.783 25.33% 1.",U,
"Nợ ngắn hạn 2.446.996.860.366 56,03% 2.924.505.714.868 55,26% 477.508.854.502 19,51% 2.",U,
"Nợ dài hạn 458.126.939.942 10,49% 716.510.044.223 13,54% 258.383.104.281 56,40% II.",U,
"VỐN CHỦ SỞ HỮU 1.462.251.288.257 33,48% 1.650.828.080.109 31,20% 188.576.791.852 12,90% 1.",U,
"Vốn góp của chủ sở hữu 926.987.790.000 21,23% 1.051.177.580.000 19,86% 124.189.790.000 13,40% 2.",U,
"Thặng dư vốn cổ phần 40.988.785.123 0,94% 40.988.785.123 0,77% - 0,00% 3.",U,
"Vốn khác của chủ sở hữu 55.419.591 0,00% 55.419.591 0,00% - 0,00% 4.",U,
"Quỹ đầu tư phát triển 200.704.720.977 4,60% 212.319.038.365 4,01% 11.614.317.388 5,79% 5.",U,
"Quỹ khác thuộc vốn chủ sở hữu 61.186.798.009 1,40% 72.801.115.397 1,38% 11.614.317.388 18,98% 6.",U,
"Lợi nhuận sau thuế chưa phân phối 232.327.774.557 5,32% 250.917.939.706 4,74% 18.590.165.149 8,00% 7.",U,
"Điều đó được hiểu là doanh nghiệp cần phải có trách nhiệm đối với các hoạt động của mình, là biểu hiện của đạo đức kinh doanh thành những hành động thực tế đối với xã hội và môi trường tự nhiên.",S,GRI419
"Trong suốt chặng đường 43 năm xây dựng thương hiệu TNG, chúng tôi luôn xác định chiến lược kinh doanh phải đảm bảo hài hòa lợi ích giữa kinh tế - xã hội - môi trường.",S,GRI419
"Bởi 3 yếu tố này bổ sung, tác động lẫn nhau, thực hiện tốt trách nhiệm đối với cộng đồng, xã hội sẽ giúp kinh doanh tốt hơn.",S,GRI413-1
"Ngược lại kinh doanh chỉ phát triển nếu ở trong một xã hội văn minh, môi trường tốt.",S,GRI419
"Trên tinh thần trách nhiệm và tự nguyện, chúng tôi đã và đang xây dựng các nhà máy theo tiêu chuẩn Xanh, sử dụng nguyên vật liệu và sản xuất ra những sản phẩm thân thiện với môi trường, vì lợi ích cộng đồng.",S,GRI413-1
"Vì vậy, chúng tôi luôn tham gia vào những nỗ lực nhằm nâng cao đời sống xã hội nơi mà chúng tôi hoạt động, bằng việc thực hiện các hoạt động đầu tư, phát triển cộng đồng, mang đến cho mọi người những điều tốt đẹp nhất.",S,GRI413-1
"Bảo đảm an toàn và lợi ích cho người tiêu dùng: Có thể nói, trách nhiệm xã hội của doanh nghiệp trong bối cảnh hiện nay là sự cam kết về chất lượng sản phẩm, bảo đảm an toàn cho người sử dụng.",S,GRI403
TNG cam kết chịu trách nhiệm tuyệt đối cho tất cả các sản phẩm cung cấp đến tay người tiêu dùng.,U,
"Xã hội có bao nhiêu người sử dụng sản phẩm do TNG làm ra, TNG sẽ chịu trách nhiệm với bấy nhiêu người tiêu dùng.",S,GRI419
Chính sách dành cho người lao động: Chủ tịch HĐQT Công ty đã cam kết trước Hội nghị Người lao động “tất cả người lao động làm việc tại TNG sẽ được đảm bảo đầy đủ các quyền lợi theo quy định pháp luật”.,S,GRI402
"Điều này đã được minh chứng qua các chính sách, chế độ TNG dành cho người lao động luôn được thực hiện đầy đủ và không có khiếu nại, khiếu kiện nào liên quan đến vấn đề này.",S,GRI402
"Với những nỗ lực vì một nền kinh tế phát triển bền vững, xã hội văn minh, cộng đồng hạnh phúc, TNG đã nhận được nhiều giải thưởng cao quý của Nhà nước Việt Nam, chứng nhận danh giá của các tổ chức trong nước và quốc tế.",S,GRI419
"TNG tự hào luôn là sự lựa chọn hàng đầu của các tổ chức, tập đoàn lớn trên thế giới, là người bạn đồng hành với khách hàng và đối tác.",S,GRI413-1
"Tại cuộc họp, Ban Lãnh đạo Công ty đã trả lời thỏa đáng các câu hỏi chất vấn của Cổ đông.",S,GRI407
Kết quả biểu quyết của mỗi nội dung được ghi nhận trong Biên bản và Nghị quyết Đại hội và được công bố đầy đủ và đúng thời gian quy định.,S,GRI407
"Lợi nhuận sau thuế: 280 tỷ đồng Lợi nhuận sau thuế năm 2022 đạt 293 tỷ đồng, đạt 104,6% và vượt 4,6% so với kế hoạch.",U,
Cổ tức: Dự kiến chi trả tối thiểu 16% vốn điều lệ.,U,
Ủy quyền cho lựa chọn chi trả bằng tiền hoặc bằng cổ phiếu đảm bảo lợi ích cổ đông.,S,GRI402
"Đã thực hiện chia cổ tức 2022 là 16% Vốn điều lệ, trong đó 8% bằng cổ phiếu và 8% bằng tiền.",U,
"Thù lao của HĐQT: Thông qua kế hoạch chi trả thù lao HĐQT năm 2022 là 2,4% lợi nhuận sau thuế năm 2022 bằng tiền mặt.",U,
"Đã thực hiện, tham khảo Thuyết minh số 36.",U,
Vốn chủ sở hữu Báo cáo tài chính hợp nhất đã được kiểm toán cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022.,U,
"3 Sửa đổi, bổ sung ngành nghề kinh doanh và sửa đổi điều lệ công ty.",S,GRI404-3
"Đã thực hiện, tham khảo Điều lệ Công ty sửa đổi lần thứ 33.",U,
"Tăng cường công tác quản trị, nâng cao năng suất lao động của người lao động thông qua việc ứng dụng công nghệ vào sản xuất góp phần tăng năng suất.",S,GRI402
"Đời sống, thu nhập của người lao động được đảm bảo, không bị ngừng việc do dịch đã giúp công ty duy trì sản xuất, mở rộng sản xuất và đem lại năng suất lao động cao.",S,GRI401-2
"Ngoài ra, năm 2022 bộ phận kiểm soát tuân thủ và kiểm toán nội bộ của Công ty thường xuyên tiến hành các chương trình kiểm toán nhằm phát hiện và phòng tránh những rủi ro phát sinh đồng thời cải tiến quy trình làm việc.",S,GRI408
"Đồng thời, TNG tăng cường tập trung năng lực sản xuất vào các đơn hàng FOB có tỷ lệ lợi nhuận gộp cao, ứng dụng hệ thống quản trị phần mềm vào công tác quản lý giúp tăng năng suất lao động.",U,
Cơ cấu doanh thu hàng FOB chiếm 83% trong tổng doanh thu năm 2022.,U,
Doanh thu bán hàng và cung cấp dịch vụ tăng so với năm 2021 là 24%.,U,
"Do vậy, lợi nhuận sau thuế năm 2022 trên báo cáo tài chính hợp nhất và báo cáo tài chính riêng tăng so với cùng kỳ lần lượt là 26,14% và 25,83%.",U,
"ĐÁNH GIÁ CỦA HĐQT VỀ TRÁCH NHIỆM MÔI TRƯỜNG VÀ XÃ HỘI Về môi trường Mặc dù tập trung phát triển kinh tế là mục tiêu hàng đầu, TNG vẫn luôn tuân thủ nghiêm ngặt các quy định của pháp luật về bảo vệ môi trường.",U,
"Trong năm 2021, mọi hoạt động đầu tư sản xuất của TNG đều hướng đến Nhà máy Xanh, tiết kiệm nguyên liệu năng lượng và giảm thiểu rác thải, nước thải.",U,
TNG không ghi nhận bất cứ vi phạm hoặc bị nhắc nhở về việc vi phạm môi trường.,S,GRI419
"Hệ thống xử lý nước thải tại các nhà máy được lắp đặt hệ thống tiên tiến, đạt các tiêu chí đánh giá của khách hàng lớn.",S,GRI402
TNG áp dụng mô hình kinh tế tuần hoàn tối ưu việc giảm rác thải ra môi trường (“Chi tiết thể hiện rõ tại Báo cáo Doanh nghiệp bền vững năm 2022 của TNG”).,U,
"Mọi lao động được đảm bảo công việc, phúc lợi theo đúng thỏa thuận tại Hợp đồng lao động và quy chế nội quy công ty (Nội dung này được thể hiện chi tiết tại Báo cáo doanh nghiệp bền vững của TNG).",S,GRI401-2
"Năm 2022, TNG đã chi hơn 7 tỷ đồng cho các hoạt động thiện nguyện, an sinh xã hội.",S,GRI413-1
"Hội đồng Quản trị đánh giá cao những nỗ lực và quyết tâm của Ban Tổng Giám đốc vững vàng vượt qua mọi khó khăn, thử thách trong giai đoạn trước và sau dịch bệnh COVID-19.",U,
"Đồng thời, tuân thủ nghiêm chỉnh các quy chế, quy định trong hoạt động điều hành, phân cấp quản trị theo Điều lệ, Quy chế quản trị, các quy chế nội bộ của TNG cũng như các Quyết định của HĐQT.",S,GRI419
"Đề xuất thông qua các báo cáo tài chính, báo cáo quản lý, báo cáo kiểm toán (và báo cáo Quản trị công ty) gửi lên Đại hội đồng cổ đông.",S,GRI407
Xây dựng cơ chế kiểm soát nội bộ và quản trị rủi ro.,S,GRI408
Đảm bảo quyền lợi của các cổ đông.,S,GRI407
"Tham mưu cho Đại hội đồng cổ đông về mức chi trả cổ tức, thời hạn và thủ tục chi trả cổ tức.",S,GRI402
Giải quyết xung đột trong Công ty.,S,GRI407
Tổ chức Đại hội đồng cổ đông.,S,GRI407
Tổ chức lấy ý kiến cổ đông để Đại hội đồng cổ đông thông qua các quyết định.,S,GRI407
"Giám sát và kiểm soát chiến lược Quyết định về chiến lược và kế hoạch phát triển trung hạn, kế hoạch kinh doanh thường niên.",S,GRI404-2
Quyết định về kế hoạch và các dự án đầu tư trong thẩm quyền của mình.,S,GRI407
"Quyết định về giải pháp mở rộng thị trường, marketing và công nghệ.",S,GRI404
"Bổ nhiệm, miễn nhiệm, sa thải, ký kết và chấm dứt hợp đồng với Tổng Giám đốc và các cán bộ quản lý chủ chốt của Công ty.",S,GRI402
Giám sát và chỉ đạo Tổng Giám đốc và các cán bộ quản lý khác.,S,GRI404-3
Quyết định về cơ cấu tổ chức của Công ty.,S,GRI407
Thành lập các Ủy ban trực thuộc Hội đồng Quản trị.,S,GRI407
Bổ nhiệm hoặc miễn nhiệm Thư ký công ty.,S,GRI404-3
Thông qua các tài liệu về quản lý nội bộ (và Quy tắc Quản trị công ty).,S,GRI419
Đảm bảo vốn điều lệ và tài sản Đề xuất về các loại cổ phần và tổng số lượng cổ phần mỗi loại sẽ được chào bán.,S,GRI404-3
Quyết định về việc phát hành cổ phần mới trong giới hạn tổng số cổ phần mỗi loại có thể được chào bán.,U,
Quyết định về việc huy động vốn bổ sung dưới các hình thức khác.,S,GRI412-2
Quyết định về giá chào bán cổ phần và trái phiếu của Công ty.,U,
"3 Tiểu ban Chính sách phát triển, Tiểu ban Nhân sự đảm bảo hoàn thành trách nhiệm và định hướng 2023 của mỗi Tiểu ban.",U,
Kịp thời kiến nghị hoặc phát hiện báo cáo HĐQT kịp thời.,S,GRI404-3
"4 Tiểu ban Phụ trách, Ban Điều hành duy trì công tác khuyến khích toàn bộ các phòng ban, đơn vị trong và ngoài TNG đóng góp, thí điểm các sáng kiến không ngừng phát trển và nâng cao hiệu quả công tác quản trị, năng suất lao động.",S,GRI402
"2 Ủy ban Kiểm toán, Tiểu ban Phát triển bền vững tăng cường các cuộc họp, chương trình kiểm toán để giám sát và báo cáo HĐQT việc thực hiện mục tiêu, kế hoạch năm.",S,GRI404-3
"Bàn bạc về các Báo cáo tài chính hàng tháng, quý và Báo cáo tài chính năm đã được kiểm toán với Ban Giám đốc và kiểm toán độc lập.",S,GRI404-3
"Thảo luận việc công bố báo chí về lợi nhuận Công ty, cũng như các thông tin tài chính và hướng dẫn việc đọc hiểu các con số lợi nhuận cho các cơ quan phân tích và đánh giá tín nhiệm.",S,GRI404-3
"Sử dụng dịch vụ tư vấn pháp luật, kế toán hoặc các tư vấn khác bên ngoài khi cần thiết.",S,GRI419
Bàn bạc các chính sách về đánh giá và quản lý rủi ro.,S,GRI412-2
Tham chiếu nội dung chi tiết đã được trình bày tại Mục Các Tiểu ban trực thuộc Hội đồng Quản trị tại trang 162.,U,
Tham chiếu nội dung chi tiết đã được trình bày tại Mục Các Tiểu ban trực thuộc Hội đồng Quản trị tại trang 163.,U,
Phê duyệt điều lệ kiểm toán nội bộ.,S,GRI404-3
Phê duyệt kế hoạch kiểm toán theo định hướng rủi ro.,S,GRI404-3
Phê duyệt kế hoạch nhân sự và kế hoạch ngân sách kiểm toán nội bộ.,S,GRI404-3
Nhận các thông tin được truyền đạt lại từ trường kiểm toán nội bộ về các hoạt động liên quan tới kiểm toán nội bộ.,S,GRI402
Bổ nhiệm hoặc miễn nhiệm Trưởng kiểm toán nội bộ.,S,GRI404-3
"Phê duyệt lương, thưởng của Trưởng kiểm toán nội bộ.",S,GRI404-3
Đảm bảo xác định được những nơi có thể xảy ra giới hạn về nguồn lực và giới hạn về phạm vi kiểm toán nội bộ.,U,
"Ủy ban Kiểm toán sẽ báo cáo chức năng cho Hội đồng Quản trị và báo cáo hành chính cho Tổng Giám đốc để thiết lập, duy trì đảm bảo bộ phận kiểm toán nội bộ có đủ quyền để thực hiện chức năng, nhiệm vụ của mình.",S,GRI404-3
"BÁO CÁO THƯỜNG NIÊN 2022 Hàng tuần, tháng, quý họp riêng với Ban Giám đốc, Kiểm toán nội bộ và Kiểm toán độc lập.",S,GRI404-3
Thiết lập các chính sách tuyển dụng rõ ràng đối với nhân viên hoặc cựu nhân viên của công ty kiểm toán độc lập hiện đang kiểm toán cho Công ty.,S,GRI404-3
Báo cáo thường xuyên lên Hội đồng Quản trị.,S,GRI412-2
Thực hiện tự đánh giá kết quả hoạt động hàng năm của Ủy Ban kiểm toán.,S,GRI404-3
Thực hiện tự đánh giá kết quả việc công bố thông tin theo Thông tư số 96/2020/TT-BTC ngày 16/11/2020 của Bộ tài chính về việc hướng dẫn công bố thông tin trên thị trường chứng khoán.,S,GRI404-3
"Được truy cập một cách không hạn chế về chức năng, ghi chép, tài sản, nhân sự liên quan tới các cuộc kiểm toán, kiểm toán viên có trách nhiệm bảo mật các thông tin này.",S,GRI418
"Phân bổ nguồn lực, lựa chọn nội dung, phạm vi công việc, áp dụng các kỹ thuật để đạt được mục tiêu kiểm toán và phát hành báo cáo kiểm toán.",S,GRI404-3
"Được sự hỗ trợ từ các nhân sự của Công ty trong trường hợp cần thiết, cũng như sự hỗ trợ từ các dịch vụ bên trong cũng như bên ngoài Công ty để đảm bảo hoàn thành kế hoạch kiểm toán.",S,GRI404-2
Đánh giá quy trình thực hiện của Hội đồng kiểm kê vốn và tài sản Công ty hàng năm.,S,GRI404-3
Đánh giá quy trình tiếp nhận và giải quyết các thắc mắc của cổ đông trước thềm ĐHCĐ 2022.,U,
"Đánh giá quy trình lên kế hoạch tổ chức ĐHCĐ 2022, phân công và giao nhiệm vụ thể cho các phòng ban cùng thực hiện.",S,GRI404-3
"Đánh giá quy trình tổ chức ĐHCĐ 2022 theo đúng Điều lệ công ty, Luật Doanh nghiệp 2020.",S,GRI404-3
Đánh giá quy trình công bố thông tin ĐHCĐ theo đúng quy định.,S,GRI412-2
"Trong đó, có 01 thành viên HĐQT đệ trình đơn từ nhiệm từ ngày 04/10/2022 và kết quả chính thức được thông qua vào kỳ họp Đại hội cổ đông thường niên năm 2023.",U,
Các cuộc họp của HĐQT đều đạt sự nhất trí cao trong các nội dung thảo luận.,S,GRI404-3
"Chịu trách nhiệm trước pháp luật, trước Đại hội đồng cổ đông, HĐQT về quyền và nghĩa vụ được giao; Các quyền và nhiệm vụ khác theo quy định của Pháp luật, Điều lệ Công ty và quyết định của HĐQT.",S,GRI407
ĐÁNH GIÁ CỦA CÁC THÀNH VIÊN HĐQT ĐỘC LẬP ĐỐI VỚI CÁC THÀNH VIÊN TRONG HĐQT Các thành viên hiểu rõ công việc của mình và vận hành công việc một cách chủ động.,S,GRI404-3
"Hoạch định chiến lược cụ thể, rõ ràng, minh bạch.",U,
Cơ quan HĐQT phối hợp cùng với Bộ phận kiểm toán nội bộ và cơ quan điều hành hiệu quả trong quá trình quản trị và kiểm soát rủi ro.,S,GRI404-3
"Tuân thủ các quy định của pháp luật, điều lệ Công ty, điều lệ hoạt động của HĐQT.",S,GRI419
"Đồng thời, tuân thủ nghiêm chỉnh các quy chế, quy định trong hoạt động điều hành, phân cấp quản trị theo điều lệ, quy chế quản trị, các quy chế nội bộ của TNG cũng như các quyết định của HĐQT.",S,GRI419
Tất cả các thành viên HĐQT TNG đều đáp ứng đủ tiêu chuẩn theo quy định của pháp luật Tham dự Chương trình Director Certification Program DCP1 - Chứng nhận thành viên Hội đồng Quản trị tại Hồ Chí Minh ngày 10 - 12/01/2019.,S,GRI404-3
Thành phần tham dự Ông Nguyễn Văn Thời - Chủ tịch HĐQT Ông Nguyễn Văn Đức - Thành viên HĐQT Thành phần tham dự Tham dự Chương trình Director Certification Program DCP2 - Chứng nhận thành viên Hội đồng Quản trị tại Hà Nội ngày 09 - 11/05/2019.,S,GRI404-3
Một trong số họ được bổ nhiệm làm Chủ tịch Ủy ban.,S,GRI404-3
Một trong số họ được bổ nhiệm làm Chủ tịch Ủy ban.,S,GRI404-3
"Các thành viên trong Ủy ban Nhân sự nắm rõ những nguyên tắc cơ bản về đạo đức kinh doanh, quản lý, Luật Doanh nghiệp, Luật Lao động và các quy định khác được áp dụng.",S,GRI419
Góp ý kiến đối với các đề xuất về việc bổ nhiệm thành viên Hội đồng Quản trị hoặc thành viên Ban Giám đốc.,S,GRI404-3
Đề ra các tiêu chí về phẩm chất và năng lực của thành viên Hội đồng Quản trị hoặc thành viên Ban Giám đốc.,S,GRI404-3
Soạn thảo hoặc đánh giá nội dung soạn thảo về các quy trình bổ nhiệm thành viên Hội đồng Quản trị hoặc thành viên Ban Giám đốc.,S,GRI404-3
Chỉ đạo việc chuẩn bị và viết tài liệu về nội quy lao động của Công ty.,S,GRI402
"Thực thi những nhiệm vụ khác liên quan tới chính sách nhân sự của Công ty, được Hội đồng Quản trị giao phó.",S,GRI413-1
"STT THỜI GIAN NỘI DUNG HỌP 1 08/03/2022 Báo cáo kết quả hoạt động nhân sự năm 2021 và kế hoạch năm 2022; Xây dựng trình tự, thủ tục đề cử ứng cử thành viên HĐQT.",S,GRI404-3
"2 20/04/2022 Đề xuất thù lao của Hội đồng Quản trị, thành viên Tiểu ban trực thuộc, tổ thư ký HĐQT và các thành viên giúp việc cho HĐQT năm 2022.",U,
3 30/06/2022 Báo cáo kết quả hoạt động nhân sự hàng quý; Xây dựng kế hoạch đào tạo trong năm và chương trình đội ngũ kế thừa.,U,
4 30/09/2022 Xem xét kiện toàn nhân sự các vị trí còn thiếu.,U,
Đưa ra chiến lược thu hút người lao động.,S,GRI402
Tư vấn phát triển nguồn nhân lực có tay nghề kỹ thuật cao.,S,GRI404-2
Giám sát cách đánh giá năng lực từng nhân viên và đưa vào hệ thống đánh giá tự động trên phần mềm của từng cá nhân đối với công việc.,S,GRI412-2
"Định hướng các cơ chế, chính sách tạo động lực cho người lao động thông qua cơ chế thưởng, thưởng sáng kiến,… 1 Xây dựng c h ư ơ n g trình đào tạo năm 2023.",U,
"2 Đề xuất, tham mưu cho HĐQT về chính sách lương, thưởng và đãi ngộ của Công ty.",S,GRI404-3
3 Tiếp tục hoàn thiện công tác phát triển nguồn nhân lực và cán bộ quản lý cấp cao của Công ty.,S,GRI404
5 Tham mưu cho HĐQT mức cổ tức hàng năm và trung hạn.,U,
